name,phone,address,category,place,state
Amish Hospital,+91-265-2337895,"  3, Asha Puri Society, Near Jain Temple, Bpc Road, Vadodara-390020",Doctors - Plastic Surgeon / Cosmetic Surgeon     also listed in,mumbai,maharashtra
Premier Kidney Care Private Limited,+91-265-2341600,"  17/B, Shree Nagar Society, Near Urmi Crossing, Akota, Vadodara-390015",Doctors - Nephrologists (kidney)     also listed in,mumbai,maharashtra
Shubhechha Multispeciality Hospital,+91-265-2356212,"  409-412, Shrinagar Society, Near Urmi Char Rasta, Productivity Road, Akota, Vadodara-390020",Hospitals     also listed in,mumbai,maharashtra
Netra -The Eye Hospital,+91-265-2311679,"  101, Silver Coin, Shrenik Char Rasta, Cow & Calf Circle, Akota, Vadodara-390020",Doctors - Eye (Ophthalmologists)     also listed in,mumbai,maharashtra
Acharya Nursing Home,+919825040019,"  88/89, Shree Jayambe Co-Op Society, Subhanpura, Opp Gorwa Workshop, Vadodara-390023",Doctors - Consulting Physicians     also listed in,mumbai,maharashtra
Patel Dr Anandrao R,+91-265-2341444,"  Rituma,Alkapuri,B/H Hotel Welcome, Vadodara-390001","Doctors - Ear, Nose and Throat (ENT)     also listed in",mumbai,maharashtra
Honest Surgical Company,+91-265-2327700,"  Nitya Building, Akota, Near H D F C Bank, Near Akota Garden, Vadodara-390001",Medical and Diagnostic Equipments and Kits     also listed in,mumbai,maharashtra
Urmil Children Hospital,+91-265-2780300,"  14, Green Park, Opposite Jay Complex, Nizampura, Vadodara-390002",Doctors - Paediatricians (Child)     also listed in,mumbai,maharashtra
Swadia Hospital,+91-265-2420333,"  Kothi Char Rasta,Karivav Road,Raopura,Opp Kuber Bhavan, Vadodara-390001",Hospitals     also listed in,mumbai,maharashtra
Bhagat Hospital,+91-265-2425939,"  Sanstha Vasahat,Raopura, Vadodara-390001",Hospitals     also listed in,mumbai,maharashtra
Anant Multispeciality Hospital,+91-265-6553588,"  8/10, Sunrise Complex, Opposite Ambe School, Near Darbar Chowkdi, Manjalpur, Vadodara-390006",Hospitals,mumbai,maharashtra
Shruti Hospital,+91-265-2484591,"  Kautilya Complex, Near Sangam Cross Road, Subhashpark Corsssing, Kareli Baug, Tulsiwadi, Vadodara-390006","Doctors - Ear, Nose and Throat (ENT)     also listed in",mumbai,maharashtra
Uro Care Hospital Vadodara,+91-253-2325903,"  Gadapura Road,Near Utkarsh Vidhyalaya,Near Utkarsh Vidyalaya,Behind Vaccine I,Off Old Padra Road, Vadodara-390020",Hospitals,mumbai,maharashtra
Sadar Patel Hospital,+91-265-2658333,"  Opposite Srp Ground, Near Petrol Bunk, Makapura Road, Vadodara-390009",Hospitals,mumbai,maharashtra
Medical Care Centre Trust,+912652463906,"  Jalaram Marg,Karelibaug,Vadodara, Vadodara-390018",Hospitals,mumbai,maharashtra
Dr Thakorbhai V Patel Eye Institute,+91-265-2410932,"  Haribhakti Complex, Vinoba Bhave Road, Salatwada, Vadodara-390001",Hospitals,mumbai,maharashtra
Gunjan Hospital And Icu Unit,+91-265-2776849,"  B-27/349, A/F2 Indra Prasth Complex, Opp Swaminarayan Nagar, Nizampura, Vadodara-390002",Hospitals,mumbai,maharashtra
Netradeep Hospital,+91-265-6542727,"  2nd Flr,Shyamal Complex,Opp Raju Tower,Old Padra Road,Tandalja Road, Vadodara-390020",Doctors - Audiologist and Speech Pathologist     also listed in,mumbai,maharashtra
Sunil Children Hospital,+91-265-2331836,"  105,Patel Plaza,Gotri Road,Opp Harinagar Bus Stand, Vadodara-390023",Doctors - Paediatricians (Child)     also listed in,mumbai,maharashtra
Krishna Hospital,+91-265-2464622,"  201-2/3,Suryadeep Complex,Harni Road,Nr Rupam Cinema, Vadodara-390006",Hospitals     also listed in,mumbai,maharashtra
Navjivan Hospital & Global Heart Centre,+919879505185,"  -, Vadodara-390000",Hospitals,mumbai,maharashtra
Welcare Hospital,+91-265-2353670,"  101/103, Akshaganga Complex, Old Padra Road, Above Pizza Hut Rece Course Circle, Near Akshar Art And Gift Gallery, Near Thai Refresh Express, Vadodara-390007",Hospitals,mumbai,maharashtra
Kamlesh Parikh,+91-265-2422120,"  Opposite Police Parade Ground, Near Gpo, Vadodara-390001",Hospitals     also listed in,mumbai,maharashtra
Desai Hospital,+91-265-2780878,"  Opposite Arpan Complex, Nizampura Road, Nizampura, Vadodara-390002",Hospitals,mumbai,maharashtra
Manek Surgical,+91-265-2433244,"  Sb-1/2,Parshwa Bhumi Complex,Mahajan Lane,Raopura, Vadodara-390001","Surgical Instruments - Suppliers, Manufacturers     also listed in",mumbai,maharashtra
